,sentence,words,labels
15,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,আবার,GARBAGE
16,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,রাশিয়া,B-PER
17,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,পেট্রো,B-ORG
18,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,ডলারের,OBJECT
19,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,সুবাদে,OTHERS
20,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,তার,OBJECT
21,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,অর্থনৈতিক,OBJECT
22,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,ও,OBJECT
23,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,রাজনৈতিক,OBJECT
24,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,প্রতিকূল,LOC
25,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,পরিস্থিতি,TIME
26,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,কাটিয়ে,GARBAGE
27,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,বিশ্ব,B-ORG
28,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,পরিসরে,TIME
29,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,উঠে,OTHERS
30,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,না,OTHERS
31,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,হলেও,OTHERS
32,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,নিজের,OTHERS
33,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,আধিপত্য,OTHERS
34,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,এলাকায়,LOC
35,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,প্রভাববলয়াধীন,OTHERS
36,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,প্রতিষ্ঠা,OTHERS
37,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,সোভিয়েত,B-ORG
38,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,আমলের,TIME
39,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,বেশকিছু,OTHERS
40,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,মিত্রকে,I-ORG
41,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,দিকে,OTHERS
42,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,আকর্ষণ,OTHERS
43,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,করতে,OTHERS
44,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,সক্ষম,OTHERS
45,বিগত দু'দশকে আবার রাশিয়া পেট্রো ডলারের সুবাদে তার অর্থনৈতিক ও রাজনৈতিক প্রতিকূল পরিস্থিতি কাটিয়ে উঠে বিশ্ব পরিসরে না হলেও নিজের প্রভাববলয়াধীন এলাকায় আধিপত্য প্রতিষ্ঠা ও সোভিয়েত আমলের বেশকিছু মিত্রকে নিজের দিকে আকর্ষণ করতে সক্ষম হয়।,হয়,OTHERS
46,আমাদের যাওয়ার জন্য সব কিছু প্রস্তুত।,সব,OBJECT
47,আমাদের যাওয়ার জন্য সব কিছু প্রস্তুত।,আমাদের,B-PER
48,আমাদের যাওয়ার জন্য সব কিছু প্রস্তুত।,কিছু,OBJECT
49,আমাদের যাওয়ার জন্য সব কিছু প্রস্তুত।,যাওয়ার,OTHERS
50,আমাদের যাওয়ার জন্য সব কিছু প্রস্তুত।,জন্য,OTHERS
51,আমাদের যাওয়ার জন্য সব কিছু প্রস্তুত।,প্রস্তুত,OTHERS
52,অনেক দূর।,দূর,LOC
53,অনেক দূর।,অনেক,LOC
54,দুই প্রধানমন্ত্রী স্বাক্ষর অনুষ্ঠান প্রত্যক্ষ করেন।,দুই,OTHERS
55,দুই প্রধানমন্ত্রী স্বাক্ষর অনুষ্ঠান প্রত্যক্ষ করেন।,স্বাক্ষর,OBJECT
56,দুই প্রধানমন্ত্রী স্বাক্ষর অনুষ্ঠান প্রত্যক্ষ করেন।,অনুষ্ঠান,TIME
57,দুই প্রধানমন্ত্রী স্বাক্ষর অনুষ্ঠান প্রত্যক্ষ করেন।,প্রত্যক্ষ,OTHERS
58,দুই প্রধানমন্ত্রী স্বাক্ষর অনুষ্ঠান প্রত্যক্ষ করেন।,করেন,OTHERS
59,দুই প্রধানমন্ত্রী স্বাক্ষর অনুষ্ঠান প্রত্যক্ষ করেন।,প্রধানমন্ত্রী,B-PER
60,১৯৭১ সালে আমাদের লোকসংখ্যা ছিল সাড়ে সাত কোটি।,১৯৭১,TIME
61,১৯৭১ সালে আমাদের লোকসংখ্যা ছিল সাড়ে সাত কোটি।,সালে,TIME
62,১৯৭১ সালে আমাদের লোকসংখ্যা ছিল সাড়ে সাত কোটি।,আমাদের,B-PER
63,১৯৭১ সালে আমাদের লোকসংখ্যা ছিল সাড়ে সাত কোটি।,ছিল,OTHERS
64,১৯৭১ সালে আমাদের লোকসংখ্যা ছিল সাড়ে সাত কোটি।,লোকসংখ্যা,OBJECT
65,১৯৭১ সালে আমাদের লোকসংখ্যা ছিল সাড়ে সাত কোটি।,সাড়ে,OTHERS
66,১৯৭১ সালে আমাদের লোকসংখ্যা ছিল সাড়ে সাত কোটি।,সাত,OTHERS
67,১৯৭১ সালে আমাদের লোকসংখ্যা ছিল সাড়ে সাত কোটি।,কোটি,OTHERS
68,"যুক্তরাজ্য,",যুক্তরাজ্য,LOC
69,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,চায়নার,LOC
70,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,বেইজিংয়ে,LOC
71,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,গ্রেট,LOC
72,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,হল,LOC
73,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,অফ,LOC
74,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,দি,LOC
75,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,পিপল,LOC
76,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,রুম,LOC
77,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,রাষ্ট্রীয়,B-ORG
78,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,মিটিং,OTHERS
79,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,স্থান,LOC
80,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,এ,OTHERS
81,স্থান : চায়নার রাজধানী বেইজিংয়ে গ্রেট হল অফ দি পিপল-এ রাষ্ট্রীয় মিটিং রুম।,রাজধানী,LOC
82,প্রতি বছরের মতো এবারো বিদ্যুৎ সরবরাহ ব্যাহত হবে।,প্রতি,TIME
83,প্রতি বছরের মতো এবারো বিদ্যুৎ সরবরাহ ব্যাহত হবে।,বছরের,TIME
84,প্রতি বছরের মতো এবারো বিদ্যুৎ সরবরাহ ব্যাহত হবে।,মতো,OTHERS
85,প্রতি বছরের মতো এবারো বিদ্যুৎ সরবরাহ ব্যাহত হবে।,এবারো,TIME
86,প্রতি বছরের মতো এবারো বিদ্যুৎ সরবরাহ ব্যাহত হবে।,বিদ্যুৎ,OBJECT
87,প্রতি বছরের মতো এবারো বিদ্যুৎ সরবরাহ ব্যাহত হবে।,সরবরাহ,OTHERS
88,প্রতি বছরের মতো এবারো বিদ্যুৎ সরবরাহ ব্যাহত হবে।,ব্যাহত,OTHERS
89,প্রতি বছরের মতো এবারো বিদ্যুৎ সরবরাহ ব্যাহত হবে।,হবে,OTHERS
90,অন্তত এই মাত্রায় একেবারেই দেখা যেত না।,অন্তত,OTHERS
91,অন্তত এই মাত্রায় একেবারেই দেখা যেত না।,এই,OTHERS
92,অন্তত এই মাত্রায় একেবারেই দেখা যেত না।,মাত্রায়,OBJECT
93,অন্তত এই মাত্রায় একেবারেই দেখা যেত না।,একেবারেই,OTHERS
94,অন্তত এই মাত্রায় একেবারেই দেখা যেত না।,দেখা,OTHERS
95,অন্তত এই মাত্রায় একেবারেই দেখা যেত না।,যেত,OTHERS
96,অন্তত এই মাত্রায় একেবারেই দেখা যেত না।,না,OTHERS
